Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C1,C4,C6",C_0402_1005Metric,C141382,3
0.1uF,"C11,C12,C13,C14,C15,C16,C17",C_0201_0603Metric,C66938,7
10k,"R12,R3,R9",R_0402_1005Metric,C25725,3
10uF,"C10,C7,C8,C9",C_0402_1005Metric,C15525,4
1k,R10,R_0201_0603Metric,C131396,1
22.1k,R4,R_0201_0603Metric,C423662,1
330,R11,R_0201_0603Metric,C274872,1
4.7k,"R7,R8",R_0201_0603Metric,C142008,2
4.7uF,"C2,C3,C5",C_0402_1005Metric,C23733,3
47.5k,R5,R_0201_0603Metric,C166179,1
5.1k,"R1,R2",R_0402_1005Metric,C25905,2
AP2112K-1.2,U4,SOT-23-5,C49451994,1
AP2112K-3.3,U3,SOT-23-5,C3021085,1
BSS138,Q1,SOT-23,C52895,1
CP2102N-Axx-xQFN24,U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C969151,1
LED,"D1,D2",LED_0201_0603Metric,C3646922,2
R22,R6,R_0201_0603Metric,C142011,1
SG-8002CE(24.0000M),Y1,Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm,C390322,1
SW_Push,SW1,SW_SPST_EVQP2_ShortPushTravel_H2.1mm,C2915174,1
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,C165948,1
GW1NSR-4C-MG64P,U1,BGA-64_8x8_4.2x4.2mm,Gowin GW1NSR-4C-MG64P,1
TestPoint,TP4,TestPoint_Pad_D1.0mm,,1
TestPoint,TP3,TestPoint_Pad_D1.0mm,,1
TestPoint,TP2,TestPoint_Pad_D1.0mm,,1
TestPoint,TP1,TestPoint_Pad_D1.0mm,,1
Jtag PIN,J4,PinHeader_1x06_P2.54mm_Vertical,,1
Conn_01x24_Pin,J3,PinHeader_1x24_P2.54mm_Vertical,,1
Conn_01x24_Pin,J2,PinHeader_1x24_P2.54mm_Vertical,,1
