Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,104.8,-77.8,0.0,top
C10,10uF,C_0402_1005Metric,107.12,-70.4,0.0,top
C11,0.1uF,C_0201_0603Metric,95.455,-100.2,0.0,top
C12,0.1uF,C_0201_0603Metric,95.52,-101.4,180.0,top
C13,0.1uF,C_0201_0603Metric,95.545,-102.8,180.0,top
C14,0.1uF,C_0201_0603Metric,101.28,-97.2,0.0,top
C15,0.1uF,C_0201_0603Metric,104.0,-101.345,90.0,top
C16,0.1uF,C_0201_0603Metric,97.443952,-98.356048,45.0,top
C17,0.1uF,C_0201_0603Metric,100.055,-108.6,0.0,top
C2,4.7uF,C_0402_1005Metric,95.68,-78.0,180.0,top
C3,4.7uF,C_0402_1005Metric,92.6175,-86.35,180.0,top
C4,0.1uF,C_0402_1005Metric,93.1375,-88.27,-90.0,top
C5,4.7uF,C_0402_1005Metric,97.4,-83.2,90.0,top
C6,0.1uF,C_0402_1005Metric,96.3375,-83.89,90.0,top
C7,10uF,C_0402_1005Metric,91.92,-70.6,0.0,top
C8,10uF,C_0402_1005Metric,93.72,-76.6,0.0,top
C9,10uF,C_0402_1005Metric,107.32,-76.2,180.0,top
D1,LED,LED_0201_0603Metric,102.855,-80.4,0.0,top
D2,LED,LED_0201_0603Metric,107.4,-93.345,90.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,100.12,-72.935,180.0,top
J2,Conn_01x24_Pin,PinHeader_1x24_P2.54mm_Vertical,88.0,-100.21,0.0,top
J3,Conn_01x24_Pin,PinHeader_1x24_P2.54mm_Vertical,111.5,-100.21,0.0,top
J4,Jtag PIN,PinHeader_1x06_P2.54mm_Vertical,99.81,-132.2,-90.0,top
Q1,BSS138,SOT-23,107.25,-96.8625,0.0,top
R1,5.1k,R_0402_1005Metric,101.4,-78.49,-90.0,top
R10,1k,R_0201_0603Metric,104.4,-79.945,90.0,top
R11,330,R_0201_0603Metric,105.855,-93.0,0.0,top
R12,10k,R_0402_1005Metric,103.8,-94.49,90.0,top
R2,5.1k,R_0402_1005Metric,98.8,-78.51,-90.0,top
R3,10k,R_0402_1005Metric,94.7375,-84.66,90.0,top
R4,22.1k,R_0201_0603Metric,94.3375,-86.695,90.0,top
R5,47.5k,R_0201_0603Metric,94.3375,-88.495,90.0,top
R6,R22,R_0201_0603Metric,97.92,-103.6,180.0,top
R7,4.7k,R_0201_0603Metric,103.655,-99.6,180.0,top
R8,4.7k,R_0201_0603Metric,102.356048,-98.756048,-45.0,top
R9,10k,R_0402_1005Metric,102.8,-110.0,0.0,top
SW1,SW_Push,SW_SPST_EVQP2_ShortPushTravel_H2.1mm,106.15,-105.775,-90.0,top
U1,~,BGA-64_8x8_4.2x4.2mm,100.092893,-100.767767,45.0,top
U2,CP2102N-Axx-xQFN24,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,97.6,-87.6,180.0,top
U3,AP2112K-3.3,SOT-23-5,107.55,-73.3375,180.0,top
U4,AP2112K-1.2,SOT-23-5,92.45,-73.4625,180.0,top
Y1,SG-8002CE(24.0000M),Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm,100.199999,-106.15,0.0,top
